,Time,1,2,3
S/N,,227659,227659,227659
Type,,Tinytag Ultra H°C/%RH,Tinytag Ultra H°C/%RH,csv file
Description,,GH South wall,GH South wall,GH South wall
Property,,Temperature,Humidity,Dew Point
244,2020-02-06 00:24:00,12.3 °C,56.7 %RH,3.9 °C
245,2020-02-06 00:39:00,12.3 °C,56.7 %RH,3.9 °C
246,2020-02-06 00:54:00,12.3 °C,56.7 %RH,3.9 °C
247,2020-02-06 01:09:00,12.3 °C,56.7 %RH,3.9 °C
248,2020-02-06 01:24:00,12.3 °C,56.7 %RH,3.9 °C
249,2020-02-06 01:39:00,12.3 °C,56.7 %RH,3.9 °C
250,2020-02-06 01:54:00,12.3 °C,56.7 %RH,3.9 °C
251,2020-02-06 02:09:00,12.3 °C,56.7 %RH,3.9 °C
252,2020-02-06 02:24:00,12.3 °C,56.7 %RH,3.9 °C
253,2020-02-06 02:39:00,12.3 °C,56.7 %RH,3.9 °C
254,2020-02-06 02:54:00,12.0 °C,56.7 %RH,3.7 °C
255,2020-02-06 03:09:00,12.3 °C,56.7 %RH,3.9 °C
256,2020-02-06 03:24:00,12.3 °C,56.7 %RH,3.9 °C
257,2020-02-06 03:39:00,12.3 °C,56.7 %RH,3.9 °C
258,2020-02-06 03:54:00,12.3 °C,56.7 %RH,3.9 °C
259,2020-02-06 04:09:00,12.3 °C,56.7 %RH,3.9 °C
260,2020-02-06 04:24:00,12.3 °C,56.7 %RH,3.9 °C
261,2020-02-06 04:39:00,12.3 °C,56.7 %RH,3.9 °C
262,2020-02-06 04:54:00,12.3 °C,56.7 %RH,3.9 °C
263,2020-02-06 05:09:00,12.0 °C,56.7 %RH,3.7 °C
264,2020-02-06 05:24:00,12.0 °C,56.7 %RH,3.7 °C
265,2020-02-06 05:39:00,12.0 °C,56.7 %RH,3.7 °C
266,2020-02-06 05:54:00,12.0 °C,56.7 %RH,3.7 °C
267,2020-02-06 06:09:00,12.0 °C,56.7 %RH,3.7 °C
268,2020-02-06 06:24:00,12.0 °C,56.7 %RH,3.7 °C
269,2020-02-06 06:39:00,12.0 °C,56.7 %RH,3.7 °C
270,2020-02-06 06:54:00,12.0 °C,56.7 %RH,3.7 °C
271,2020-02-06 07:09:00,12.0 °C,56.7 %RH,3.7 °C
272,2020-02-06 07:24:00,12.0 °C,56.7 %RH,3.7 °C
273,2020-02-06 07:39:00,11.7 °C,56.3 %RH,3.3 °C
274,2020-02-06 07:54:00,11.7 °C,56.3 %RH,3.3 °C
275,2020-02-06 08:09:00,11.7 °C,56.3 %RH,3.3 °C
276,2020-02-06 08:24:00,11.7 °C,56.3 %RH,3.3 °C
277,2020-02-06 08:39:00,11.7 °C,56.3 %RH,3.3 °C
278,2020-02-06 08:54:00,11.7 °C,56.3 %RH,3.3 °C
279,2020-02-06 09:09:00,11.7 °C,56.3 %RH,3.3 °C
280,2020-02-06 09:24:00,11.7 °C,56.3 %RH,3.3 °C
281,2020-02-06 09:39:00,12.0 °C,56.7 %RH,3.7 °C
282,2020-02-06 09:54:00,12.0 °C,56.7 %RH,3.7 °C
283,2020-02-06 10:09:00,12.0 °C,56.7 %RH,3.7 °C
284,2020-02-06 10:24:00,12.0 °C,56.7 %RH,3.7 °C
285,2020-02-06 10:39:00,11.7 °C,56.3 %RH,3.3 °C
286,2020-02-06 10:54:00,12.0 °C,56.3 %RH,3.6 °C
287,2020-02-06 11:09:00,12.0 °C,56.3 %RH,3.6 °C
